audio_path,transcript
data/test.wav,hello my name is nikhil
data/clip_001.wav,hello
data/clip_002.wav,no
data/clip_003.wav,yes
data/clip_004.wav,today is a good day
data/clip_005.wav,the model is learning 
data/clip_006.wav,speech recognition is hard
data/clip_007.wav,the man sat on the hat
data/clip_008.wav,what are you doing
data/clip_009.wav,philosophy and artifical intelligence 
data/clip_010.wav,the sun is shining brightly today 
data/clip_011.wav,can I have a drink of water please
data/clip_012.wav,being and time
data/clip_013.wav,i will see you again someday
data/clip_014.wav,your car looks damaged 
data/clip_015.wav,can't you see the plane
data/clip_016.wav,what 
data/clip_017.wav,and
data/clip_018.wav,all bachelors are unmarried men
data/clip_019.wav,i am very sleepy tonight
data/clip_020.wav,morning 
data/clip_021.wav,good day to you sir 
data/clip_022.wav,but 
data/clip_023.wav,yeah no
data/clip_024.wav,i will not do that
data/clip_025.wav,maybe tomorrow 
data/clip_026.wav,and your name is
data/clip_027.wav,please don't do that
data/clip_028.wav,thanks 
data/clip_029.wav,you're welcome 
data/clip_030.wav,the car is fast
data/clip_031.wav,it is red and blue 
data/clip_032.wav,nice
data/clip_033.wav,apple 
data/clip_034.wav,google 
data/clip_035.wav,amazon 
data/clip_036.wav,that is the only way 
data/clip_037.wav,crazy 
data/clip_038.wav,next year 
data/clip_039.wav,let's go 
data/clip_040.wav,i remember 
data/clip_041.wav,i'm sorry 
data/clip_042.wav,no you are not
data/clip_043.wav,the Ferrari is red
data/clip_044.wav,that man is bad
data/clip_045.wav,the sad man is fat
data/clip_046.wav,i listen to electronic music 
data/clip_047.wav,is that you 
data/clip_048.wav,it is blurry 
data/clip_049.wav,nice picture 
data/clip_050.wav,great 